DISTNAME,5. Students % Hispanic:,6. Students % White:,8. Students % Asian:,11. Students % Economically Disadvantaged:,16. Students % Gifted and Talented Education:,17. Attendance Rate (2017-18):,18. Annual Dropout Rate Gr. 9-12 (2017-18):,47. Staff % Teachers:,54. Staff % Minority:,57. Teacher % With 5 or Fewer Years of Experience:,60. Teacher Turnover Rate:,78. Operating Revenue % Federal:,92. Expenditures % Basic Education Services:,94. Expenditures % State Compensatory Education:,Racial Dif Stu/Tea,target
cleburne isd,42.5,47.8,0.5,65.2,9.2,94.4,2,50.4,23.5,36.7,12.6,10.7,44.5,7.9,17.425,36
Bay City isd,63.6,18.3,0.6,77.5,1.7,93.2,2.3,44.2,48.1,33.1,25.6,16.3,38.6,9.4,24.7,37
