,5. Students % Hispanic: ,6. Students % White:,8. Students % Asian:,11. Students % Economically Disadvantaged:,16. Students % Gifted and Talented Education:,17. Attendance Rate (2017-18):,18. Annual Dropout Rate Gr. 9-12 (2017-18):,47. Staff % Teachers:,54. Staff % Minority:,57. Teacher % With 5 or Fewer Years of Experience: ,60. Teacher Turnover Rate:,78. Operating Revenue % Federal:,92. Expenditures % Basic Education Services: ,94. Expenditures % State Compensatory Education:,Racial Dif Stu/Tea,target,"DISTSIZE_1,000 to 1,599","DISTSIZE_1,600 to 2,999","DISTSIZE_10,000 to 24,999","DISTSIZE_25,000 to 49,999","DISTSIZE_3,000 to 4,999","DISTSIZE_5,000 to 9,999","DISTSIZE_50,000 and over",DISTSIZE_500 to 999,DISTSIZE_Under 500,COMMTYPE_Charters,COMMTYPE_Independent Town,COMMTYPE_Major Suburban,COMMTYPE_Major Urban,COMMTYPE_Non-metropolitan Fast Growing,COMMTYPE_Non-metropolitan Stable,COMMTYPE_Other Central City,COMMTYPE_Other Central City Suburban,COMMTYPE_Rural
45,30.5,21.7,2.4,61.6,3.2,94.3,1.8,46.5,50.7,47.1,16.8,22.4,49.5,7.5,17.71875,44.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,31.4,64.6,0.6,51.7,8.8,96.6,0.0,54.6,12.2,26.2,22.7,6.2,45.3,4.8,14.650000000000002,54.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
47,22.0,71.9,0.6,27.5,7.0,96.1,0.2,55.6,14.0,27.5,14.8,2.8,45.4,5.7,8.568749999999998,56.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,45.0,22.5,1.6,72.0,6.5,93.9,1.7,52.6,30.5,42.0,21.3,13.0,46.2,9.7,26.75,38.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
49,27.5,66.7,0.3,51.2,5.7,96.3,0.0,50.1,10.4,23.2,20.1,6.0,42.9,6.9,13.64375,53.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,94.3,3.1,0.0,86.0,0.0,76.4,23.7,35.9,70.5,88.8,57.5,15.8,57.6,6.9,24.875,18.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
51,52.6,4.5,0.3,100.0,0.0,94.6,0.0,43.6,87.1,67.6,32.4,22.8,25.2,13.5,7.218750000000001,34.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,91.6,3.8,0.2,88.4,0.0,94.8,0.0,54.5,81.7,62.3,21.2,14.2,41.5,12.2,14.975,34.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
53,66.7,2.3,0.9,92.3,0.0,94.5,0.0,44.8,76.3,52.8,43.7,19.6,29.0,10.7,18.2,32.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
54,65.5,17.3,0.1,82.6,5.3,92.4,2.4,53.1,53.7,64.9,27.9,19.1,21.8,34.1,17.187499999999996,25.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
55,86.3,3.8,0.0,83.2,0.0,77.5,17.8,66.7,73.3,0.0,18.1,7.6,77.5,7.2,18.1,21.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
